archetype;status;trend;old_count;new_count;count_change;old_meta_share;new_meta_share;meta_share_change;old_avg_placement;new_avg_placement;avg_placement_change;old_best;new_best
Dragapult Dusknoir;NEU;VERSCHLECHTERT;0;608;608;0;9,07;9,07;0;8,46;8,46;0;1
Mega Lucario Hariyama;NEU;VERSCHLECHTERT;0;608;608;0;9,07;9,07;0;8,73;8,73;0;1
Alakazam Dudunsparce;NEU;VERSCHLECHTERT;0;336;336;0;5,01;5,01;0;8,07;8,07;0;1
Garchomp Roserade;NEU;VERSCHLECHTERT;0;290;290;0;4,32;4,32;0;8,6;8,6;0;1
Dragapult Blaziken;NEU;VERSCHLECHTERT;0;253;253;0;3,77;3,77;0;8,09;8,09;0;1
Dragapult Meowth;NEU;VERSCHLECHTERT;0;247;247;0;3,68;3,68;0;8,35;8,35;0;1
Grimmsnarl Munkidori;NEU;VERSCHLECHTERT;0;224;224;0;3,34;3,34;0;7,98;7,98;0;1
Dragapult;NEU;VERSCHLECHTERT;0;220;220;0;3,28;3,28;0;7,74;7,74;0;1
Spidops Mewtwo;NEU;VERSCHLECHTERT;0;215;215;0;3,21;3,21;0;8,59;8,59;0;1
Zoroark Darmanitan;NEU;VERSCHLECHTERT;0;211;211;0;3,15;3,15;0;8,04;8,04;0;1
Mega Lucario Solrock;NEU;VERSCHLECHTERT;0;196;196;0;2,92;2,92;0;8,46;8,46;0;1
Grimmsnarl Froslass;NEU;VERSCHLECHTERT;0;185;185;0;2,76;2,76;0;8,06;8,06;0;1
Honchkrow Porygon-Z;NEU;VERSCHLECHTERT;0;159;159;0;2,37;2,37;0;8,09;8,09;0;1
Mega Venusaur Ogerpon;NEU;VERSCHLECHTERT;0;144;144;0;2,15;2,15;0;9,11;9,11;0;1
Mega Starmie Mega Froslass;NEU;VERSCHLECHTERT;0;138;138;0;2,06;2,06;0;8,12;8,12;0;1
Barbaracle Okidogi;NEU;VERSCHLECHTERT;0;111;111;0;1,66;1,66;0;8,69;8,69;0;1
Archaludon;NEU;VERSCHLECHTERT;0;109;109;0;1,63;1,63;0;9,1;9,1;0;1
Dragapult Noctowl;NEU;VERSCHLECHTERT;0;101;101;0;1,51;1,51;0;8,49;8,49;0;1
Dusknoir Mega Diancie;NEU;VERSCHLECHTERT;0;98;98;0;1,46;1,46;0;9,46;9,46;0;1
Dipplin Thwackey;NEU;VERSCHLECHTERT;0;82;82;0;1,22;1,22;0;8,73;8,73;0;1
Ogerpon Arboliva;NEU;VERSCHLECHTERT;0;81;81;0;1,21;1,21;0;6,49;6,49;0;1
Ogerpon Raging-Bolt;NEU;VERSCHLECHTERT;0;78;78;0;1,16;1,16;0;8,12;8,12;0;1
Ogerpon Mega Venusaur;NEU;VERSCHLECHTERT;0;70;70;0;1,04;1,04;0;7,31;7,31;0;1
Mega Meganium Ogerpon;NEU;VERSCHLECHTERT;0;69;69;0;1,03;1,03;0;8,35;8,35;0;1
Honchkrow Porygon2;NEU;VERSCHLECHTERT;0;68;68;0;1,01;1,01;0;7,79;7,79;0;1
Ogerpon Noctowl;NEU;VERSCHLECHTERT;0;63;63;0;0,94;0,94;0;9,05;9,05;0;1
Metagross Empoleon;NEU;VERSCHLECHTERT;0;62;62;0;0,92;0,92;0;9,08;9,08;0;1
Mega Froslass Mega Starmie;NEU;VERSCHLECHTERT;0;61;61;0;0,91;0,91;0;8,8;8,8;0;1
Noctowl Flareon;NEU;VERSCHLECHTERT;0;58;58;0;0,86;0,86;0;8,22;8,22;0;1
